Salary Date,Salary Month,Salary ID,Salary Status,Employee ID,Employee Name,Gender,Generation,Joining,Termination,Term Category,Term Reason,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Manager Name,Performance,Talent,Department,active_months
2011-07-15,2011-07,100260_2011-07,Inactive,100260,Name_100260,Male,Millennials,2008-11-01,2011-06-20,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101059,Name_101059,E,,AO,31.0
2011-07-15,2011-07,100297_2011-07,Inactive,100297,Name_100297,Male,Millennials,2005-12-01,2011-06-20,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,31 to 35,31 To 35,101379,Name_101379,E,,AQ,66.0
2011-07-15,2011-07,100301_2011-07,Inactive,100301,Name_100301,Female,Gen X,2010-04-01,2011-06-16,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,101444,Name_101444,E,,AR,14.0
2011-07-15,2011-07,100310_2011-07,Inactive,100310,Name_100310,Female,Gen X,2005-01-01,2011-07-03,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101569,Name_101569,E,,AS,78.0
2011-07-15,2011-07,100312_2011-07,Inactive,100312,Name_100312,Male,Gen X,2000-10-01,2011-06-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102366,Name_102366,E,,AT,128.0
2011-07-15,2011-07,100316_2011-07,Inactive,100316,Name_100316,Male,Millennials,2010-05-01,2011-07-14,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100296,Name_100296,E,,AT,14.0
2011-07-15,2011-07,100323_2011-07,Inactive,100323,Name_100323,Male,Millennials,2005-04-01,2011-06-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101540,Name_101540,E,,AY,74.0
2011-08-14,2011-08,100288_2011-08,Inactive,100288,Name_100288,Male,Gen X,2004-03-01,2011-07-31,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,100282,Name_100282,E,,AX,88.0
2011-08-14,2011-08,100324_2011-08,Inactive,100324,Name_100324,Female,Millennials,2007-08-01,2011-07-17,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,102367,Name_102367,E,,AZ,47.0
2011-08-14,2011-08,100328_2011-08,Inactive,100328,Name_100328,Female,Millennials,2003-12-01,2011-07-20,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Gujarath,31 to 35,26 To 30,102368,Name_102368,E,,BA,91.0
2011-08-14,2011-08,100348_2011-08,Inactive,100348,Name_100348,Female,Millennials,2008-10-01,2011-08-10,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100794,Name_100794,E,,AI,34.0
2011-08-14,2011-08,100360_2011-08,Inactive,100360,Name_100360,Female,Millennials,2005-10-01,2011-08-03,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100439,Name_100439,E,,AI,70.0
2011-08-14,2011-08,100418_2011-08,Inactive,100418,Name_100418,Male,Millennials,2003-03-01,2011-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100650,Name_100650,E,,AI,100.0
2011-08-14,2011-08,100419_2011-08,Inactive,100419,Name_100419,Male,Gen X,2009-09-01,2011-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102387,Name_102387,E,,BD,22.0
2011-08-14,2011-08,100423_2011-08,Inactive,100423,Name_100423,Male,Millennials,2006-08-01,2011-08-14,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Below 30,26 To 30,101288,Name_101288,E,,BE,60.0
2011-08-14,2011-08,100426_2011-08,Inactive,100426,Name_100426,Female,Millennials,2009-07-01,2011-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101377,Name_101377,E,,AQ,24.0
2011-08-14,2011-08,100427_2011-08,Inactive,100427,Name_100427,Male,Gen X,2001-11-01,2011-08-14,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101444,Name_101444,E,,AR,117.0
2011-08-14,2011-08,100429_2011-08,Inactive,100429,Name_100429,Female,Millennials,2008-04-01,2011-07-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101451,Name_101451,E,,AR,39.0
2011-08-14,2011-08,100430_2011-08,Inactive,100430,Name_100430,Female,Millennials,2008-07-01,2011-07-29,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100442,Name_100442,E,,BF,36.0
2011-09-15,2011-09,100168_2011-09,Inactive,100168,Name_100168,Female,Millennials,2006-07-01,2011-09-08,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,Name_100186,E,,AC,62.0
2011-09-15,2011-09,100273_2011-09,Inactive,100273,Name_100273,Male,Millennials,2007-06-01,2011-08-20,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,100277,Name_100277,E,,AX,50.0
2011-09-15,2011-09,100393_2011-09,Inactive,100393,Name_100393,Male,Gen X,2004-10-01,2011-09-15,VOLUNTARY,Voluntary Termination,Relocated to Other Branch,Senior,Bengaluru,Above 35,46 T0 50,102383,Name_102383,E,,AD,83.0
2011-09-15,2011-09,100438_2011-09,Inactive,100438,Name_100438,Male,Millennials,1998-06-01,2011-09-05,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Gujarath,31 to 35,31 To 35,102391,Name_102391,E,,BA,159.0
2011-09-15,2011-09,100440_2011-09,Inactive,100440,Name_100440,Male,Millennials,2009-12-01,2011-09-02,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101058,Name_101058,E,,AU,21.0
2011-09-15,2011-09,100443_2011-09,Inactive,100443,Name_100443,Female,Gen X,2000-08-01,2011-08-29,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101076,Name_101076,E,,BG,132.0
2011-09-15,2011-09,100444_2011-09,Inactive,100444,Name_100444,Male,Millennials,2009-04-01,2011-09-15,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101162,Name_101162,E,,BH,29.0
2011-09-15,2011-09,100453_2011-09,Inactive,100453,Name_100453,Male,Millennials,2009-05-01,2011-09-13,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Hyderabad,Below 30,26 To 30,101322,Name_101322,E,,AP,28.0
2011-09-15,2011-09,100456_2011-09,Inactive,100456,Name_100456,Male,Millennials,2007-10-01,2011-09-10,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101495,Name_101495,E,,AV,47.0
2011-09-15,2011-09,100495_2011-09,Inactive,100495,Name_100495,Male,Millennials,2005-11-01,2011-09-15,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101437,Name_101437,E,,AY,70.0
2011-09-15,2011-09,100496_2011-09,Inactive,100496,Name_100496,Male,Millennials,2005-02-01,2011-09-12,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,101540,Name_101540,E,,AY,79.0
2011-10-15,2011-10,100103_2011-10,Inactive,100103,Name_100103,Male,Millennials,2005-07-01,2011-09-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100105,Name_100105,E,,AL,74.0
2011-10-15,2011-10,100138_2011-10,Inactive,100138,Name_100138,Male,Millennials,2009-12-01,2011-09-19,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100191,Name_100191,E,,AC,21.0
2011-10-15,2011-10,100152_2011-10,Inactive,100152,Name_100152,Female,Millennials,2007-11-01,2011-10-03,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,Name_100186,E,,AC,47.0
2011-10-15,2011-10,100161_2011-10,Inactive,100161,Name_100161,Female,Millennials,2007-04-01,2011-09-26,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100170,Name_100170,E,,AC,53.0
2011-10-15,2011-10,100545_2011-10,Inactive,100545,Name_100545,Male,Millennials,2005-10-01,2011-09-29,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100780,Name_100780,E,,AI,71.0
2011-10-15,2011-10,100552_2011-10,Inactive,100552,Name_100552,Male,Millennials,2005-10-01,2011-09-22,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100794,Name_100794,E,,AI,71.0
2011-10-15,2011-10,100553_2011-10,Inactive,100553,Name_100553,Male,Millennials,2008-07-01,2011-09-26,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,101056,Name_101056,E,,AU,38.0
2011-10-15,2011-10,100556_2011-10,Inactive,100556,Name_100556,Male,Gen X,2010-12-01,2011-10-07,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Chennai,Above 35,31 To 35,101253,Name_101253,E,,BP,10.0
2011-10-15,2011-10,100572_2011-10,Inactive,100572,Name_100572,Male,Millennials,2006-09-01,2011-10-13,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102417,Name_102417,E,,BS,61.0
2011-10-15,2011-10,100575_2011-10,Inactive,100575,Name_100575,Male,Gen X,2003-09-01,2011-10-08,VOLUNTARY,Voluntary Termination,Salary Hike,Mid,Hyderabad,Above 35,31 To 35,101319,Name_101319,E,,AP,97.0
2011-10-15,2011-10,100584_2011-10,Inactive,100584,Name_100584,Male,Gen X,2003-10-01,2011-09-29,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Vadodara,Above 35,41 T0 45,101604,Name_101604,E,,BU,95.0
2011-10-15,2011-10,100587_2011-10,Inactive,100587,Name_100587,Male,Millennials,2010-04-01,2011-09-16,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,102420,Name_102420,E,,AY,17.0
2011-10-15,2011-10,100588_2011-10,Inactive,100588,Name_100588,Male,Millennials,2009-02-01,2011-09-30,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,101701,Name_101701,E,,AY,31.0
2011-10-15,2011-10,100610_2011-10,Inactive,100610,Name_100610,Female,Millennials,2008-04-01,2011-09-17,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,26 To 30,101540,Name_101540,E,,AY,41.0
2011-10-15,2011-10,100615_2011-10,Inactive,100615,Name_100615,Male,Millennials,2007-12-01,2011-09-16,VOLUNTARY,Voluntary Termination,Personal Reason,Mid,Bengaluru,31 to 35,31 To 35,102420,Name_102420,E,,AY,45.0
2011-11-15,2011-11,100145_2011-11,Inactive,100145,Name_100145,Male,Millennials,2009-10-01,2011-11-14,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100190,Name_100190,E,,AC,25.0
2011-11-15,2011-11,100148_2011-11,Inactive,100148,Name_100148,Female,Millennials,2008-10-01,2011-11-14,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,Name_100186,E,,AC,37.0
2011-11-15,2011-11,100280_2011-11,Inactive,100280,Name_100280,Male,Gen X,2005-09-01,2011-10-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,102361,Name_102361,E,,AX,73.0
2011-11-15,2011-11,100478_2011-11,Inactive,100478,Name_100478,Female,Millennials,2007-05-01,2011-11-07,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,100107,Name_100107,E,,BJ,54.0
2011-11-15,2011-11,100482_2011-11,Inactive,100482,Name_100482,Male,Millennials,2006-04-01,2011-10-24,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,31 to 35,26 To 30,100107,Name_100107,E,,BJ,66.0
2011-11-15,2011-11,100581_2011-11,Inactive,100581,Name_100581,Female,Millennials,2008-10-01,2011-10-16,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100583,Name_100583,E,,BT,36.0
2011-11-15,2011-11,100858_2011-11,Inactive,100858,Name_100858,Male,Millennials,2011-08-01,2011-10-21,VOLUNTARY,Voluntary Termination,Salary Hike,Mid,Bengaluru,31 to 35,31 To 35,100650,Name_100650,E,,AI,2.0
2011-11-15,2011-11,100686_2011-11,Inactive,100686,Name_100686,Female,Millennials,2009-10-01,2011-10-17,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100726,Name_100726,E,,AI,24.0
2011-11-15,2011-11,100689_2011-11,Inactive,100689,Name_100689,Male,Millennials,2009-10-01,2011-10-24,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,100620,Name_100620,E,,AI,24.0
2011-11-15,2011-11,100699_2011-11,Inactive,100699,Name_100699,Female,Millennials,2009-10-01,2011-10-21,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100780,Name_100780,E,,AI,24.0
2011-11-15,2011-11,100701_2011-11,Inactive,100701,Name_100701,Female,Millennials,2009-10-01,2011-10-17,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100032,Name_100032,E,,AI,24.0
2011-11-15,2011-11,100706_2011-11,Inactive,100706,Name_100706,Female,Millennials,2009-04-01,2011-11-11,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,100650,Name_100650,E,,AI,31.0
2011-11-15,2011-11,100715_2011-11,Inactive,100715,Name_100715,Female,Millennials,2008-10-01,2011-10-24,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100633,Name_100633,E,,AI,36.0
2011-11-15,2011-11,100541_2011-11,Inactive,100541,Name_100541,Female,Millennials,2007-10-01,2011-10-24,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,100693,Name_100693,E,,AI,48.0
2011-11-15,2011-11,100868_2011-11,Inactive,100868,Name_100868,Female,Millennials,2008-07-01,2011-11-11,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,31 to 35,31 To 35,101059,Name_101059,E,,AO,40.0
2011-11-15,2011-11,100869_2011-11,Inactive,100869,Name_100869,Male,Millennials,2005-11-01,2011-10-31,VOLUNTARY,Voluntary Termination,Relocation to Native,Mid,Bengaluru,31 to 35,31 To 35,101162,Name_101162,E,,BH,71.0
2011-11-15,2011-11,100880_2011-11,Inactive,100880,Name_100880,Male,Millennials,2009-10-01,2011-10-16,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101321,Name_101321,E,,AP,24.0
2011-11-15,2011-11,100882_2011-11,Inactive,100882,Name_100882,Female,Millennials,2007-10-01,2011-10-18,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Hyderabad,Below 30,26 To 30,101322,Name_101322,E,,AP,48.0
2011-11-15,2011-11,100883_2011-11,Inactive,100883,Name_100883,Male,Millennials,2007-02-01,2011-10-17,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Hyderabad,Below 30,26 To 30,101322,Name_101322,E,,AP,56.0
2011-11-15,2011-11,100884_2011-11,Inactive,100884,Name_100884,Male,Millennials,2008-10-01,2011-11-03,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,101390,Name_101390,E,,BZ,37.0
2011-11-15,2011-11,100885_2011-11,Inactive,100885,Name_100885,Male,Gen X,2001-06-01,2011-10-16,VOLUNTARY,Voluntary Termination,Relocation to Native,Mid,Bengaluru,Above 35,36 T0 40,101150,Name_101150,E,,CA,124.0
2011-11-15,2011-11,100886_2011-11,Inactive,100886,Name_100886,Female,Millennials,2007-10-01,2011-10-27,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101494,Name_101494,E,,BF,48.0
2011-11-15,2011-11,100887_2011-11,Inactive,100887,Name_100887,Male,Millennials,2011-05-01,2011-10-31,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,102428,Name_102428,E,,AS,5.0
2011-11-15,2011-11,100888_2011-11,Inactive,100888,Name_100888,Male,Gen X,2005-12-01,2011-11-14,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,46 T0 50,101568,Name_101568,E,,AS,71.0
2011-11-15,2011-11,100891_2011-11,Inactive,100891,Name_100891,Male,Millennials,2007-10-01,2011-10-21,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,102366,Name_102366,E,,AT,48.0
2011-11-15,2011-11,100892_2011-11,Inactive,100892,Name_100892,Male,Millennials,2005-10-01,2011-10-30,VOLUNTARY,Voluntary Termination,Higher Studies,Mid,Bengaluru,Below 30,26 To 30,102366,Name_102366,E,,AT,72.0
2011-11-15,2011-11,100893_2011-11,Inactive,100893,Name_100893,Male,Millennials,2009-09-01,2011-10-29,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,21 To 25,101540,Name_101540,E,,AY,25.0
2011-11-15,2011-11,100894_2011-11,Inactive,100894,Name_100894,Male,Gen X,2006-01-01,2011-10-16,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101674,Name_101674,E,,AY,69.0
2011-12-15,2011-12,100660_2011-12,Inactive,100660,Name_100660,Male,Millennials,2010-09-01,2011-11-28,VOLUNTARY,Voluntary Termination,Relocation to Native,Mid,Bengaluru,31 to 35,31 To 35,100620,Name_100620,E,,AI,14.0
2011-12-15,2011-12,100691_2011-12,Inactive,100691,Name_100691,Male,Millennials,2009-10-01,2011-11-28,VOLUNTARY,Voluntary Termination,Salary Hike,Junior,Bengaluru,Below 30,26 To 30,100605,Name_100605,E,,AI,25.0
2011-12-15,2011-12,100714_2011-12,Inactive,100714,Name_100714,Male,Millennials,2008-10-01,2011-12-05,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,21 To 25,100679,Name_100679,E,,AI,38.0
2011-12-15,2011-12,100783_2011-12,Inactive,100783,Name_100783,Male,Millennials,2006-03-01,2011-12-12,VOLUNTARY,Voluntary Termination,Internal Politics,Mid,Bengaluru,31 to 35,31 To 35,100650,Name_100650,E,,AI,69.0
2011-12-15,2011-12,100809_2011-12,Inactive,100809,Name_100809,Male,Millennials,2005-10-01,2011-12-10,VOLUNTARY,Voluntary Termination,Company Rules,Junior,Bengaluru,Below 30,26 To 30,100692,Name_100692,E,,AI,74.0
2011-12-15,2011-12,100905_2011-12,Inactive,100905,Name_100905,Male,Gen X,2004-02-01,2011-12-10,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101098,Name_101098,E,,CB,94.0
2011-12-15,2011-12,100906_2011-12,Inactive,100906,Name_100906,Male,Millennials,2008-10-01,2011-12-08,VOLUNTARY,Voluntary Termination,Relocation to Native,Junior,Bengaluru,Below 30,26 To 30,101059,Name_101059,E,,AO,38.0
2011-12-15,2011-12,100911_2011-12,Inactive,100911,Name_100911,Male,Millennials,2008-10-01,2011-11-18,VOLUNTARY,Voluntary Termination,Higher Studies,Junior,Bengaluru,Below 30,26 To 30,101321,Name_101321,E,,AP,37.0
2011-12-15,2011-12,100912_2011-12,Inactive,100912,Name_100912,Male,Gen X,2007-09-01,2011-11-28,VOLUNTARY,Voluntary Termination,Personal Reason,Junior,Bengaluru,Above 35,36 T0 40,101424,Name_101424,E,,AR,50.0
2011-12-15,2011-12,100913_2011-12,Inactive,100913,Name_100913,Female,Millennials,2005-10-01,2011-11-24,VOLUNTARY,Voluntary Termination,Health Issues,Junior,Bengaluru,Below 30,26 To 30,101413,Name_101413,E,,AR,73.0
2011-12-15,2011-12,100918_2011-12,Inactive,100918,Name_100918,Male,Gen X,2000-10-01,2011-11-17,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,Above 35,36 T0 40,101164,Name_101164,E,,CA,133.0
2011-12-15,2011-12,100922_2011-12,Inactive,100922,Name_100922,Male,Gen X,2009-02-01,2011-11-21,VOLUNTARY,Voluntary Termination,Work Life Balance,Mid,Bengaluru,Above 35,36 T0 40,101591,Name_101591,E,,AS,33.0
2011-12-15,2011-12,100923_2011-12,Inactive,100923,Name_100923,Male,Millennials,2004-10-01,2011-11-21,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,31 to 35,31 To 35,101186,Name_101186,E,,AY,85.0
2012-01-14,2012-01,100143_2012-01,Inactive,100143,Name_100143,Male,Millennials,2009-09-01,2012-01-12,VOLUNTARY,Voluntary Termination,Career Growth,Junior,Bengaluru,Below 30,26 To 30,100186,Name_100186,E,,AC,28.0
2012-01-14,2012-01,100180_2012-01,Inactive,100180,Name_100180,Male,Millennials,2005-12-01,2012-01-08,VOLUNTARY,Voluntary Termination,Career Growth,Mid,Bengaluru,31 to 35,31 To 35,100190,Name_100190,E,,AC,73.0
